Idx,Subcommunity species,Fitness,Shannon diversity sim,End abundance
157,"1320,1331,1336",1271990332.9213417,0.7776691333891432,"458786322.2774701,773856127.6087877,39347883.035083994"
158,"1320,1331,1538",1078833251.6569967,1.0769123066495108,"311583525.53667694,467486614.6750138,299763111.44530594"
159,"1320,1334,1337",1522567187.317861,0.8304156750673879,"958351444.5790722,466148319.6641885,98067423.0746002"
160,"1320,1334,1338",1595692469.2794628,0.9363904964418643,"949977667.769986,420898915.5112623,224815885.99821445"
161,"1320,1334,1336",1527244070.9428422,0.7745594018211103,"968042583.0860221,504212383.5714736,54989104.28534662"
162,"1320,1334,1538",1004897023.1357169,1.0015692325038803,"417728019.50358343,141537179.71040753,445631823.92172605"
163,"1320,1337,1338",1482667948.0459714,0.7211901195746928,"1099179472.3640978,101619816.9833111,281868658.6985623"
164,"1320,1337,1336",1325866345.8460906,0.4266999988412822,"1174130715.9695168,104457182.64472377,47278447.23185001"
165,"1320,1337,1538",965764294.499809,0.8857004281361742,"472505605.23201287,61831636.599187404,431427052.6686087"
166,"1320,1338,1336",1484484690.6763642,0.6204300341888466,"1153712229.819868,284674588.2361114,46097872.62038473"
167,"1320,1338,1538",976654424.7799122,0.8257253784476939,"508478139.5109428,37372926.330334425,430803358.93863505"
168,"1320,1336,1538",961784672.5467014,0.7897590018460132,"502341310.30763394,23885458.21743064,435557904.0216368"
169,"1321,1323,1324",1377613451.556078,1.0048345596130568,"244818110.46449208,725871039.6012888,406924301.49029714"
170,"1321,1323,1325",1567466656.0674837,0.9840799635694004,"235505852.27437878,495779370.68602926,836181433.1070757"
171,"1321,1323,1327",1672293738.9925027,0.9998373350292515,"240360925.99873978,796010012.9198831,635922800.0738798"
172,"1321,1323,1329",1688841552.4558868,0.5580264149659926,"250017988.53337896,1383567659.9366462,55255903.98586173"
173,"1321,1323,1330",1661168220.1345658,0.46658030527967,"239115056.44448888,1405410522.0542035,16642641.635873426"
174,"1321,1323,1331",1321278476.3623202,0.9232248181417335,"149387554.22089976,402056222.9814774,769834699.1599431"
175,"1321,1323,1334",1782316624.4749954,0.9031825225523675,"233028599.59623402,1115572854.770266,433715170.1084953"
176,"1321,1323,1337",1675958298.12212,0.743612970617413,"246520043.50380236,1246743448.7840385,182694805.83427894"
177,"1321,1323,1338",1700845887.4765105,0.6574563499666403,"272270462.8480502,1325519279.1711264,103056145.45733401"
178,"1321,1323,1336",1675234210.0195987,0.578720600705477,"270636639.0671501,1350678664.2053514,53918906.747097336"
179,"1321,1323,1538",1017792835.3184571,1.0293722127455407,"193146957.2812596,325433015.1434036,499212862.8937939"
180,"1321,1324,1325",1340853351.4575129,0.9346976372350411,"240679285.52233875,278325908.3984794,821848157.5366948"
181,"1321,1324,1327",1309351786.892157,1.0303790304997662,"241716939.85161728,438324125.728818,629310721.3117218"
182,"1321,1324,1329",1064035342.3864579,0.7521153400711829,"265669183.15309814,742554146.8717833,55812012.36157654"
183,"1321,1324,1330",1026270223.2240454,0.633169897329815,"249520068.33781374,760069644.795359,16680510.090872651"
184,"1321,1324,1331",1153397131.4691482,0.8284793223624978,"158639154.91175884,195999984.6102758,798757991.9471134"
185,"1321,1324,1334",1328050046.007977,1.0447800887742074,"248984894.36877185,565826875.273251,513238276.36595416"
186,"1321,1324,1337",1110143380.3712273,0.9556931659207824,"262561350.52261433,655430984.808752,192151045.039861"
187,"1321,1324,1338",1149680041.8817573,0.9447594224512917,"282683292.32023644,685437835.617768,181558913.9437527"
188,"1321,1324,1336",1064637569.5739596,0.7734016881690163,"286905690.14248633,721062795.8363055,56669083.59516779"
189,"1321,1324,1538",928061254.6348023,1.0305416809139163,"186423736.76772457,278582869.4988878,463054648.36819"
190,"1321,1325,1327",1537572766.2520816,0.9635389820060334,"213515152.31149492,852766583.5647154,471291030.3758713"
191,"1321,1325,1329",1495995499.3012419,0.580827343923247,"234636130.51980412,1208616123.113832,52743245.66760586"
192,"1321,1325,1330",1465998859.976505,0.48301236127282227,"220283951.20523307,1229214755.1738248,16500153.59744708"
193,"1321,1325,1331",1277007460.5396748,0.9370294046839567,"148994186.04555342,405204231.1570097,722809043.3371115"
194,"1321,1325,1334",1613082875.046066,0.8966607152189408,"221543656.96474615,1026325557.03978,365213661.04153985"
195,"1321,1325,1337",1501947920.105315,0.7263054566503006,"236623877.52309066,1126994787.6886983,138329254.89352608"
196,"1321,1325,1338",1520247766.8711379,0.690755279202026,"251356033.80838466,1161287884.4583414,107603848.60441194"
197,"1321,1325,1336",1487623211.3224468,0.5989124993071022,"251224115.10576364,1184474968.505823,51924127.71086024"
198,"1321,1325,1538",1100712438.8191874,1.024163455840021,"179879562.7346068,483017448.4445566,437815427.6400239"
199,"1321,1327,1329",1627136850.284392,0.6459571782792684,"322417800.0733273,1245487564.0683315,59231486.14273344"
200,"1321,1327,1330",1596773886.8923054,0.540867160164174,"297393412.3849944,1281118123.5353825,18262350.9719286"
201,"1321,1327,1331",1288099189.5276642,0.9001395804076624,"154454534.75049666,333777103.7543654,799867551.0228021"
202,"1321,1327,1334",1749655941.4345667,0.9502001270120632,"276755232.4154518,1032418539.1898215,440482169.82929355"
203,"1321,1327,1337",1608074912.8431213,0.8411208870493188,"294739579.8185258,1097625944.4961753,215709388.52842012"
204,"1321,1327,1338",1658793111.7510593,0.8168544889280681,"341776252.80120766,1144565233.7297492,172451625.2201026"
