,1319,1320,1321,1323,1324,1325,1327,1329,1330,1331,1334,1337,1338,1336,1538
5-methyluridine,-2.671749101904191e-11,-8.514514601296917e-12,-2.4529970832531324e-12,-9.204190871433974e-12,-5.097595555758579e-12,-2.4268673215509753e-13,-1.8565098367133957e-11,-6.081830104741045e-13,-8.844381639416325e-22,-1.0397340526302431e-13,-9.042590113857003e-14,-4.951476400817923e-12,-3.8578515685799466e-12,-2.678077400300511e-11,-6.639704409412208e-11
gamma-Aminobutyric acid,-1.51012461482568e-13,-4.997798333517955e-12,-7.82037088588109e-12,-4.624542592560203e-13,-2.882278944997667e-13,-1.3394241720097146e-13,-5.11009117314607e-13,-1.6156870167709032e-12,-8.734950730244461e-24,-5.227131571948586e-11,-1.2975078880937176e-10,-4.2827485376463757e-11,-1.780868986190961e-15,-1.7691489022538288e-14,-5.217308989729091e-13
ectoine,-2.0970484910654894e-13,-1.7454369273191464e-12,-3.51636025058921e-14,-4.750247070472731e-13,-5.981474563214796e-13,-6.547618253293263e-13,-2.3317605006567653e-12,-3.194166804573972e-13,-4.293711497417796e-25,-1.0537781255116669e-13,-7.982942443909833e-14,-5.141244368395665e-15,-5.886190880164214e-16,-9.353325947441284e-15,-1.1613875320131984e-13
N-acetyl-glutamic acid,-4.4803217323779733e-13,-2.9353368758964906e-12,-1.1316590523334896e-10,-9.359211152278126e-12,-1.894929072057284e-13,-1.1248817107053053e-13,-1.207074622817688e-13,-5.854191309164571e-10,-3.075987351304424e-26,-4.6607870210850127e-14,-1.1709669206576098e-13,-6.912495676211279e-12,-5.0251417266793347e-17,-7.45338276878671e-17,-2.1691354301186861e-13
ornithine,-1.557931628167335e-11,-1.4029258257068319e-11,5.56357552759077e-13,-1.1352150377131243e-11,-2.932747439050749e-12,-9.622389554706408e-12,-1.4343312353589007e-11,-3.29283197161344e-13,-2.7906057861738174e-24,-6.517357556771145e-12,2.3208261455143056e-10,-6.749834624749295e-12,-1.8941628614626334e-17,-8.15305736230145e-14,-7.894292560167957e-12
shikimic acid,-1.1004773100019817e-13,-1.458790817513862e-11,-1.189614482983918e-10,-1.0968824033878309e-13,-3.9814342001628225e-14,-7.46333272599079e-14,-2.3074450161914896e-13,-9.221708766222103e-11,-1.0447290863920167e-26,-2.1988891425829274e-13,-4.2545623492282536e-12,-1.508582364294284e-13,-4.1624389694220655e-17,-1.3816566601607065e-12,-1.6250826055795952e-13
taurine,-1.32445720830586e-13,-1.4465434672980734e-13,-1.608909911243753e-14,-1.352190169380412e-13,-1.0718128842153312e-13,-1.2098805603713434e-13,-1.5728456116423697e-13,-1.545982991996194e-13,-1.1200861372643715e-24,-1.1659082454022034e-13,-1.6085624323324132e-12,-3.885073887685397e-13,-2.537916181163565e-16,-1.3494924232322178e-12,-5.481551863810962e-13
N-acetylglutamine,-6.069849404459029e-12,-7.732263639803511e-12,-7.801191447570008e-12,-2.497498637833045e-13,-1.3590808467801036e-13,-7.434946203640428e-14,-3.50037308244205e-13,-1.8597427360820156e-10,-6.770573154356611e-15,-7.449224348629896e-14,-6.842940766108654e-13,-4.5880657437720417e-14,-3.1503527187117193e-11,-2.394697256558914e-12,-1.3861321416285933e-13
n-acetyllysine,-7.030013811348088e-12,-1.154557874632505e-12,-1.6442656146290877e-11,-1.2171088077423725e-12,-2.337344704464828e-13,-6.440387434084099e-12,-1.3958440843470397e-12,-9.850091674856395e-11,-4.12495180416165e-29,-1.794499672339578e-14,-1.835810894396206e-13,-6.418181136235637e-12,-1.995253161396035e-17,-3.6023121991627065e-15,-2.473177715807356e-13
n-acetylmuramic acid,-1.1121285653431452e-14,-3.7994071771205565e-13,-2.779189863840756e-13,-1.458787240161248e-13,-2.2082010935571597e-11,-6.502911431120458e-13,-5.357147632563453e-13,-1.2692935303249202e-12,-2.313280166450283e-23,-3.6209153959034645e-13,-2.6778681079037922e-14,-2.1011453368462437e-12,-3.95397221843187e-12,-3.388506437524509e-14,-3.8194184237505e-11
