,Lysobacter,Burkholderia,Variovarax,Chitinophaga,Niastella,Mucilaginibacter,Rhizobium,Bosea,Methylobacterium,Arthrobacter,Rhodococcus,Brevibacillus,Paenibacillus,Marmoricola,Bacillus
tryptophan,-0.9999987133190787,-0.9999987133190787,-0.9999934125247546,-0.9999224709635705,-0.9999987133190787,-0.9817815589840289,-0.14020074703735708,-0.11841289858367665,0.13002106491167265,-0.20272184777791535,-0.0938962317735561,-0.9999983188986971,-0.1583580921309946,-0.06705075971271668,-0.49799864627560564
tyrosine,-0.9999862158797727,-0.9999973476136664,-0.9999979195085963,-0.9998571779122573,-0.9999670699605719,-0.9915282468849952,-0.5867962557203726,-0.12326911567204535,0.2008238340604489,-0.9368446965699511,-0.9491369297200325,-0.9999977241987146,-0.10857598690241166,-0.2303107983904784,-0.7044106870841409
valine,-0.9999955303982782,-0.9999863023468231,-0.9998851934384957,-0.9999807208750002,-0.9999651566610768,-0.9881722818040307,-0.7751397489419126,-0.09504353974728375,0.13612784159744384,-0.5523239699354654,-0.9989357236587131,-0.9999403662035167,0.36511040641777637,-0.26465788809054636,-0.9666833925863308
cysteine,-0.9825787589015176,-0.9998294034684959,-0.9936405519689044,-0.9996887885146741,-0.997136116537884,-0.9608913843086344,-0.9705456023964861,0.5531568923720036,1.3539515302287555,-0.881852667218586,-0.9786931387500171,-0.9998892160093945,-0.9327334987584809,-0.02652840986650795,-0.5443460763621258
cystine,-0.976295285108925,-0.9999872874136153,-0.9975777380379238,-0.9999879114657511,-0.9995814571621625,-0.9604090333147183,-0.9742158174347504,0.4199256938660092,1.1586852522262574,-0.8952634264806775,-0.9830349111232091,-0.9999770133305442,-0.8908096880051879,-0.21848465211767976,-0.5837399244056798
adenine,-0.9998972288893384,-0.9990810147302325,-0.9990119805866924,-0.9998084336069604,-0.9976300370538536,-0.2879138224379101,-0.9999484255637938,-0.9891544879463902,-0.9628875454924658,-0.9991520588866633,-0.9980689267694921,-0.36510548479871097,-0.9942459556773809,-0.9847691306277384,-0.9757330506677179
adenosine,-0.9999286884237888,-0.9999783395494909,-0.9997813632556865,-0.9980136870747136,-0.9916361444613019,-0.999416821754373,-0.9994398926528222,-0.3179497061373928,-0.07246746565004292,-0.9954943413846006,-0.09488648676582423,-0.9993909258639235,-0.9914787198517093,-0.9990831570557955,-0.9787860706182742
cytidine,-0.9999647958598087,-0.9999957011109012,0.2154349111504108,-0.9994016203543363,-0.9985337768203459,-0.9999937848810854,-0.9999957011109012,-0.9996987758295879,0.24287900594526812,0.6384163071917173,0.2461390188149477,-0.9997116859319309,-0.9991568631076678,-0.9998759586763142,-0.9915092488216928
cytosine,-0.5028986080545397,-0.7881269858723303,-0.9994466664288291,0.9282269881908503,0.11999996208385921,1.0432107369633155,-0.9995558378407109,-0.04694163681298935,0.1952105046319903,-0.5658753250347259,-0.9987086904164555,0.1860043060347798,-0.008671445424883295,-0.05419793559077912,-0.06928661506246958
guanine,-0.9997323380247893,-0.999498485907095,-0.9991322891116199,-0.9997159012063387,-0.9789239796164149,-0.768317980045645,-0.9997717521413906,-0.9994229691668862,0.3275805431206096,-0.9636191676902315,-0.9969511504340237,2.0164350431949867,-0.9975608914448306,0.3682444540065577,0.6521481485101699
guanosine,-0.9999966984907616,-0.9999966984907616,-0.012780128805109148,-0.9994515952746624,-0.9958401280732029,-0.9997795664819253,-0.9999966984907616,-0.995857844071275,-0.027990316639742385,-0.07504242538031336,0.3530222654274855,-0.9995120196611115,-0.9988481126844413,-0.9961162596741647,-0.979150765823593
