species,metabolite,metabolite_class,time,median_val,median_usage
Brevibacillus,valine,Amino_Acid,29.0,0.00021148666545590152,-0.9997885133345441
Brevibacillus,valine,Amino_Acid,44.5,5.9633796483374226e-05,-0.9999403662035167
Brevibacillus,cysteine,Amino_Acid,12.5,1.2632949002364349,0.26329490023643487
Brevibacillus,cysteine,Amino_Acid,19.5,0.001865711960006051,-0.9981342880399939
Brevibacillus,cysteine,Amino_Acid,29.0,0.0001652462375497288,-0.9998347537624502
Brevibacillus,cysteine,Amino_Acid,44.5,0.00011078399060551759,-0.9998892160093945
Brevibacillus,cystine,Amino_Acid,12.5,1.0935547417988651,0.09355474179886514
Brevibacillus,cystine,Amino_Acid,19.5,0.0036208090311052304,-0.9963791909688948
Brevibacillus,cystine,Amino_Acid,29.0,2.7698164788846503e-05,-0.9999723018352111
Brevibacillus,cystine,Amino_Acid,44.5,2.2986669455715896e-05,-0.9999770133305442
Brevibacillus,adenine,Nucleobase,12.5,0.802364319821581,-0.19763568017841904
Brevibacillus,adenine,Nucleobase,19.5,0.05788544027567866,-0.9421145597243213
Brevibacillus,adenine,Nucleobase,29.0,0.3777400395202782,-0.6222599604797219
Brevibacillus,adenine,Nucleobase,44.5,0.634894515201289,-0.36510548479871097
Brevibacillus,adenosine,Nucleobase,12.5,0.28856903942005707,-0.7114309605799429
Brevibacillus,adenosine,Nucleobase,19.5,0.0035073234022771583,-0.9964926765977229
Brevibacillus,adenosine,Nucleobase,29.0,0.0017728729919649295,-0.9982271270080351
Brevibacillus,adenosine,Nucleobase,44.5,0.0006090741360764227,-0.9993909258639235
Brevibacillus,cytidine,Nucleobase,12.5,0.48608392002131695,-0.513916079978683
Brevibacillus,cytidine,Nucleobase,19.5,0.0001232429298856154,-0.9998767570701144
Brevibacillus,cytidine,Nucleobase,29.0,0.00038601083549305777,-0.9996139891645069
Brevibacillus,cytidine,Nucleobase,44.5,0.0002883140680691013,-0.9997116859319309
Brevibacillus,cytosine,Nucleobase,12.5,1.0449920083190811,0.04499200831908112
Brevibacillus,cytosine,Nucleobase,19.5,0.9165007459503572,-0.08349925404964276
Brevibacillus,cytosine,Nucleobase,29.0,1.0058658399221527,0.005865839922152727
Brevibacillus,cytosine,Nucleobase,44.5,1.1860043060347798,0.1860043060347798
Brevibacillus,guanine,Nucleobase,12.5,0.8431393904811063,-0.1568606095188937
Brevibacillus,guanine,Nucleobase,19.5,0.4743105556974228,-0.5256894443025772
Brevibacillus,guanine,Nucleobase,29.0,1.8479248708702365,0.8479248708702365
Brevibacillus,guanine,Nucleobase,44.5,3.0164350431949867,2.0164350431949867
Brevibacillus,guanosine,Nucleobase,12.5,0.5901112902698205,-0.40988870973017955
Brevibacillus,guanosine,Nucleobase,19.5,0.0061059237402876915,-0.9938940762597123
Brevibacillus,guanosine,Nucleobase,29.0,0.0033079991415483215,-0.9966920008584517
Brevibacillus,guanosine,Nucleobase,44.5,0.0004879803388885268,-0.9995120196611115
Brevibacillus,hypoxanthine,Nucleobase,12.5,0.7742501601379492,-0.22574983986205077
Brevibacillus,hypoxanthine,Nucleobase,19.5,0.23152030337067156,-0.7684796966293285
Brevibacillus,hypoxanthine,Nucleobase,29.0,1.0442233066626954,0.04422330666269536
Brevibacillus,hypoxanthine,Nucleobase,44.5,1.1234848102675035,0.12348481026750346
Brevibacillus,inosine,Nucleobase,12.5,0.46027958467168695,-0.539720415328313
Brevibacillus,inosine,Nucleobase,19.5,0.0007255581760681484,-0.9992744418239319
Brevibacillus,inosine,Nucleobase,29.0,0.0009490905940576751,-0.9990509094059423
Brevibacillus,inosine,Nucleobase,44.5,0.0005284838056344263,-0.9994715161943656
Brevibacillus,thymine,Nucleobase,12.5,1.005278402058788,0.005278402058787934
Brevibacillus,thymine,Nucleobase,19.5,0.09607331456986479,-0.9039266854301352
